
Time,T_+ve,T_-ve,Flux,Fluxpos,Fluxneg
668.918,1.046,-1.192,1.354455036e-08,1.803705552e-09,-4.543181e+01
670.959,0.858,-0.994,1.693049292e-08,2.158906464e-09,-5.443938e+01
672.665,0.920,-0.848,1.743656904e-08,2.269816164e-09,-5.725007e+01
674.732,1.102,-1.147,1.374047136e-08,1.790201952e-09,-4.511288e+01
677.142,1.099,-1.308,1.219232916e-08,1.71778464e-09,-4.316886e+01
679.083,0.941,-0.842,1.80886464e-08,2.279123352e-09,-5.696473e+01
681.039,0.838,-1.015,1.711000368e-08,2.20420332e-09,-5.501287e+01
682.752,1.033,-0.875,1.635518808e-08,2.149251192e-09,-5.370057e+01
684.846,0.936,-1.062,1.5744168e-08,2.046840048e-09,-5.115315e+01
686.698,0.715,-0.915,1.887946236e-08,2.50898076e-09,-6.264929e+01
688.556,0.908,-1.143,1.49867586e-08,1.988533008e-09,-4.973317e+01
690.383,0.901,-0.919,1.703491812e-08,2.23315686e-09,-5.593672e+01
692.185,0.848,-0.901,1.802747628e-08,2.310903936e-09,-5.796966e+01
694.136,0.911,-1.103,1.526466744e-08,2.015508924e-09,-5.066147e+01
695.999,1.030,-0.952,1.575244836e-08,2.034257544e-09,-5.118714e+01
697.864,0.557,-0.836,2.238321096e-08,2.857443732e-09,-7.197222e+01
699.689,1.016,-1.267,1.30932648e-08,1.760488488e-09,-4.438659e+01
701.800,0.841,-1.096,1.6361235e-08,2.043693828e-09,-5.152576e+01
704.003,1.432,-1.361,1.107051264e-08,1.426464468e-09,-3.596872e+01
706.602,1.162,-1.167,1.317634956e-08,1.71527202e-09,-4.326134e+01
708.975,1.448,-1.211,1.15154028e-08,1.51688394e-09,-3.820972e+01
711.585,1.217,-1.162,1.309551804e-08,1.700496072e-09,-4.254660e+01
713.611,1.173,-0.809,1.545397128e-08,2.051800344e-09,-5.128201e+01
715.841,0.957,-1.057,1.559658672e-08,2.001367368e-09,-5.015097e+01
717.896,1.032,-1.098,1.432431396e-08,1.891824264e-09,-4.754054e+01
720.025,1.190,-1.097,1.360499976e-08,1.738683936e-09,-4.374615e+01
722.265,1.068,-1.049,1.445822532e-08,1.884725964e-09,-4.747010e+01
724.202,1.128,-0.869,1.493297784e-08,2.00806848e-09,-5.061959e+01
726.386,0.912,-1.055,1.619444376e-08,2.027587716e-09,-5.112468e+01
728.633,1.421,-1.335,1.112978592e-08,1.448974692e-09,-3.654176e+01
731.313,0.880,-1.259,1.45038762e-08,1.868373144e-09,-4.712080e+01
733.305,1.112,-1.112,1.418048676e-08,1.78971408e-09,-4.511893e+01
735.469,0.784,-1.052,1.431129744e-08,1.85770728e-09,-4.660902e+01
736.774,0.530,-0.522,1.426809384e-08,1.920193704e-09,-4.755971e+01
737.948,0.558,-0.643,1.261926072e-08,1.682747748e-09,-4.151548e+01
739.089,0.644,-0.584,1.234515348e-08,1.652020524e-09,-4.061180e+01
740.326,0.570,-0.593,1.328622768e-08,1.744462368e-09,-4.258887e+01
741.504,0.494,-0.607,1.43140734e-08,1.825367148e-09,-4.472733e+01
